,BPM,Activity Index,Bends per 9.09 s,Speed,Max speed,Dist per bend,Area,Appears in frames,Moving (non-paralyzed),Region,Round ratio,Eccentricity
1229,0.0,0.0,0.0,0.0013601888158119347,0.0111997672927071,,0.049600000000000005,64.0,False,['all'],0.0,0.9714370377750378
1230,0.0,0.0,0.0,0.00953949961434973,0.00953949961434973,,0.0448,61.0,False,['all'],1.0,0.9233518242719649
1231,0.0,0.0,0.0,0.01803944604860861,0.0222172798492356,,0.0944,67.0,False,['all'],0.0,0.9499283002781512
1232,0.0,0.0,0.0,0.006122969770682726,0.007535008273599646,,0.0736,61.0,False,['all'],0.0,0.9434103484060272
1233,0.0,0.0,0.0,0.003851350775983662,0.042183765889996776,,0.1472,72.0,False,['all'],0.0,0.9713421867175646
1234,0.0,0.0,0.0,0.22811568600426776,0.23591850306991838,,0.16640000000000002,54.0,True,['all'],0.0,0.9818231425698437
1236,0.0,0.0,0.0,0.003644784417336604,0.02756756990689888,,0.1424,70.0,False,['all'],0.0,0.9624716453940191
1256,38.82352941176471,0.03701176470588236,5.882352941176471,0.09231804508433261,0.11060981071263708,0.0,0.1144,52.0,True,['all'],0.7692307692307692,0.834094439334904
1267,0.0,0.0,0.0,0.005109120475251459,0.05883762888891696,,0.0944,66.0,False,['all'],0.045454545454545414,0.9415118596737865
1281,0.0,0.0,0.0,0.013316271617103838,0.02121151504869185,,0.0736,61.0,False,['all'],0.06557377049180324,0.9372156004525994
1283,0.0,0.0,0.0,0.03345228481862813,0.04086263901829555,,0.08,61.0,False,['all'],0.0,0.9640616006581164
1287,0.0,0.0,0.0,0.021306659583415433,0.021306659583415433,,0.064,52.0,False,['all'],0.0,0.9908046453629205
1291,35.357142857142854,0.026871428571428567,5.357142857142857,0.03788606305226722,0.04319278799489854,0.0,0.0912,57.0,True,['all'],0.01754385964912286,0.9636057999568924
1293,0.0,0.0,0.0,0.03534172687652441,0.04957634364219944,,0.10400000000000001,56.0,False,['all'],0.0,0.9714938990200798
1298,0.0,0.0,0.0,0.017536182463751715,0.034926351858512235,,0.0688,55.0,False,['all'],0.0,0.9891828064929028
1306,0.0,0.0,0.0,0.12420916742228102,0.12493745756374992,,0.10880000000000001,53.0,True,['all'],0.0,0.9817367064130574
